,name,fullname,isalive,group,centrality,hits,pagerank,auth,hub
0,tonys,Tony Stark,alive,human,0.27071823204419887,0.030093659125936544,0.027758463025571084,0.024694475587717042,0.3866752744578137
1,stever,Steve Rogers,alive,human,0.22099447513812154,0.030553888583345262,0.018145753107963267,0.19393878730470748,0.36026315538799536
2,bruceb,Bruce Banner,alive,human,0.16574585635359115,0.023730480093309726,0.014206345869250013,0.14792659237199662,0.28166753434565245
3,thor,Thor,alive,asgardian,0.2430939226519337,0.030740980277946754,0.018730102891792874,0.13765902683286393,0.3618399803389888
4,blackw,Natasha Romanoff,alive,human,0.19889502762430938,0.029922054611479905,0.01692326550876116,0.19272166768830978,0.3406414134892011
5,rhody,James Rhodes,alive,human,0.14917127071823205,0.022708224709442025,0.013464951347123236,0.09805639238120958,0.2565343794629851
6,hawke,Clint Barton,alive,human,0.143646408839779,0.026248324634971953,0.012191344527948313,0.1930822997431318,0.2533662504513396
7,nickf,Nick Fury,alive,human,0.09392265193370165,0.01866561240816422,0.007763608803110897,0.21817504605873023,0.1439608132619078
8,falcon,Sam Wilson,alive,human,0.12154696132596685,0.022707350948232105,0.009950799531859436,0.21404707592285538,0.1708050125018014
9,vision,Vision,alive,machine,0.09944751381215469,0.021144760756419075,0.008257795833155864,0.24130448834716214,0.09147055370259904
10,wandam,Wanda Maximoff,alive,human,0.10497237569060773,0.021448266421323782,0.008765048384865172,0.23554259237557076,0.09014704075733282
11,pietrom,Pietro Maxiomoff,deceased,human,0.06077348066298342,0.014604151891361102,0.005351785063328502,0.1886161288250593,0.10947087429265559
12,ultronu,Ultimate Ultron,deceased,machine,0.07734806629834254,0.0157020225471361,0.006879610547578907,0.19713916931101982,0.032999200993395754
13,helenc,Helen Cho,alive,human,0.011049723756906077,0.0025272433357470944,0.0017234252510933512,0.03267444879075297,0.0
14,ultrons,Ultron Sentry,deceased,machine,0.055248618784530384,0.013769256865627202,0.004873461924921594,0.19537510871697691,0.0
15,mariah,Maria Hill,alive,human,0.055248618784530384,0.012080056371394475,0.0050460971991372885,0.16978791033119273,0.0
16,wolfgangv,Wolfgang von Strucker,deceased,human,0.055248618784530384,0.012346315282778296,0.0055808308275758335,0.17261388462325944,3.119238446321151e-50
17,list,List,deceased,human,0.0055248618784530384,0.0006813337389005411,0.0012985394379858798,4.00637999271691e-49,0.0
18,peggyc,Peggy Carter,deceased,human,0.0718232044198895,0.005637218298943794,0.006951094232773767,0.052715911858342165,0.023201932276805292
19,heimdall,Heimdall,alive,asgardian,0.09392265193370165,0.0119042344458209,0.007044123032020262,0.07740667753552014,0.07475414462940756
20,laurab,Laura Barton,alive,human,0.0055248618784530384,0.001448518748606502,0.0012227368811926292,0.019726246400506808,0.0
21,madameb,Madame B.,unknown,human,0.0055248618784530384,0.0016512542306623289,0.0012237552227836487,0.02652120032584049,0.0
22,ulyssesk,Ulysses Klaue,deceased,human,0.08287292817679558,0.004695669653772967,0.0067999343002481715,0.023181483195289898,0.011993576511104886
23,pepperp,Pepper Potts,alive,human,0.049723756906077346,0.006474228439050561,0.005412381202245885,0.03010524125660259,0.04837000840018842
24,happyh,Happy Hogun,alive,human,0.055248618784530384,0.006633321259831218,0.006026386920432003,0.03675203446932099,0.030043475138200663
25,howardso,Howard Stark (Old),deceased,human,0.03314917127071823,0.0033268980401554775,0.004397886152645008,0.032415716392897004,0.014131926850021792
26,marias,Maria Stark,deceased,human,0.016574585635359115,0.00306764087890479,0.002327211675005989,0.03120550402351984,0.011498224176557255
27,obadiahs,Obadiah Stane,deceased,human,0.016574585635359115,0.002433813850698408,0.002560350445730938,0.03720382740797158,0.0023581916974093403
28,yinsen,Ho Yinsen,deceased,human,0.0055248618784530384,0.0016607242581750466,0.00130574080166319,0.03010524125660259,0.0
29,raza,Raza,deceased,human,0.016574585635359115,0.001892445379161805,0.002940264008524614,0.030288841966008465,0.0023581916974093403
30,abub,Abu Bakaar,unknown,human,0.011049723756906077,0.0017651592135675186,0.0021388595627065484,0.030288841966008465,0.0
31,jarvis,Edwin Jarvis,deceased,human,0.022099447513812154,0.0028220509006720105,0.0028122604277681044,0.0,0.021769846712374585
32,christinee,Christine Everhart,alive,human,0.011049723756906077,0.001863725646791891,0.0019209658571706103,0.03010524125660259,0.004336894531823681
33,philc,Phil Coulson,alive,human,0.0718232044198895,0.012116559761547059,0.006446703335519125,0.09304919693403808,0.09117498319380826
34,whiplash,Ivan Vanko,deceased,human,0.03867403314917127,0.005518417716647451,0.0046217388705806686,0.056183155738741386,0.019545725583559125
35,antonvo,Anton Vanko (Old),deceased,human,0.011049723756906077,0.00048813041932645667,0.002008539568923711,0.0026220275336716367,0.0
36,justinh,Justin Hammer,alive,human,0.027624309392265192,0.003678548417166044,0.003618634952537492,0.05570349231657567,0.0
37,stern,Stern,alive,human,0.016574585635359115,0.003486298652822457,0.0021563487698651952,0.05007814486661635,0.008473706641380257
38,aldrichk,Aldrich Killian,deceased,human,0.049723756906077346,0.004054629227972338,0.006045963694029287,0.05384407186423735,0.013972887525725083
39,mayah,Maya Hansen,deceased,human,0.03314917127071823,0.002592811112280363,0.004246520575393898,0.034959049107316106,0.005534619040652644
40,trevors,Trevor Slattery,alive,human,0.03314917127071823,0.0034133172527170443,0.004839994364430696,0.05147806829873243,0.004379357608005022
41,erics,Eric Savin,deceased,human,0.049723756906077346,0.002977580000704695,0.0063145460983548875,0.034304074004756414,0.006975290347370052
42,ellenb,Ellen Brandt,deceased,human,0.03314917127071823,0.0023564641522654498,0.004426558090693813,0.03216710050296172,0.002762310614596162
43,jackt,Jack Taggart,deceased,human,0.027624309392265192,0.0010272615684668962,0.003733024121654965,0.0046160071020517664,0.0
44,matthewe,Matthew Ellis,alive,human,0.022099447513812154,0.001829596016245214,0.003101467170972356,0.02194481816428256,0.0
45,harleyk,Harley Keener,alive,human,0.016574585635359115,0.001955084491397426,0.0025294411592015325,0.030863377274734004,0.0
46,jacksonn,Jackson Norriss,alive,human,0.0055248618784530384,0.00018836455675200542,0.0015099398662752836,0.0,0.004007916624774794
47,bettyr,Betty Ross,alive,human,0.022099447513812154,0.0023725374873297916,0.0029369967595125174,0.02192973362743307,0.012748011298887564
48,thunderboltr,Thaddeus Ross,alive,human,0.08839779005524862,0.014640813685192582,0.00824188001976313,0.09952159641351169,0.11672336072527285
49,emilb,Emil Blonsky,unknown,human,0.016574585635359115,0.0022484560176627,0.0022885867964582574,0.031017419926175387,0.0025073896330893714
50,samuels,Samuel Stern,unknown,human,0.022099447513812154,0.002372537487329791,0.0029369967595125174,0.03220515466460361,0.0
51,leonards,Leonard Samson,alive,human,0.016574585635359115,0.0022484560176626997,0.0022885867964582574,0.03200993751979716,0.0
52,loki,Loki,alive,frost giant,0.1878453038674033,0.023603272768583167,0.014661844403294651,0.12503487814024128,0.1971313262049581
53,odin,Odin,deceased,asgardian,0.09392265193370165,0.01103667051692854,0.007030802753325383,0.04351992287881143,0.08923920727699895
54,frigga,Frigga,deceased,asgardian,0.07734806629834254,0.0098171266106666,0.005846615737021561,0.050467887871635995,0.06433594327406196
55,sif,Sif,unknown,asgardian,0.08839779005524862,0.010435940991737223,0.006714553857846598,0.06129713725915502,0.06317354743011075
56,volstagg,Volstagg,deceased,asgardian,0.09944751381215469,0.01130691796487062,0.007486893668689328,0.06621569872386324,0.07076056972846652
57,hogun,Hogun,deceased,vanir,0.09392265193370165,0.011222222152405037,0.006987503903493935,0.07172496757363335,0.06418712190428555
58,fandral,Fandral,deceased,asgardian,0.09392265193370165,0.011222222152405037,0.006987503903493935,0.07672243891490094,0.05821375987687103
59,janef,Jane Foster,alive,human,0.07734806629834254,0.009669216992415386,0.005999257676327325,0.06848667860004244,0.04485305458881578
60,eriks,Erik Selvig,alive,human,0.06629834254143646,0.010605167906723181,0.005527617495875482,0.09739563556457442,0.060078287568468905
61,darcyl,Darcy Lewis,alive,human,0.03314917127071823,0.004463296365445198,0.0030282751903471924,0.03166394941963615,0.028397514696610646
62,laufey,Laufey,deceased,frost giant,0.04419889502762431,0.006703480700875408,0.0036644741266077317,0.07624578090748386,0.0
63,destroyer,The Destroyer,deceased,asgardian,0.06629834254143646,0.008652768251278718,0.005345062738101901,0.0808062258124528,0.015718217471695505
64,jaspers,Jasper Sitwell,deceased,human,0.06077348066298342,0.01037265146356929,0.005521875979679301,0.10883710667332215,0.024230917335225272
65,malekith,Malekith,deceased,dark elf,0.08839779005524862,0.010605193059654109,0.006667737315788938,0.0916354751999718,0.0243573375577649
66,algrim,Algrim,deceased,dark elf,0.07734806629834254,0.0098171266106666,0.00584661573702156,0.08664339764904701,0.017611561631414932
67,darkelf,Dark Elf Soldier,deceased,dark elf,0.08839779005524862,0.01060519305965411,0.006667737315788938,0.09490308542430015,0.010222713013258045
68,asgardian,Asgardian Soldier,deceased,asgardian,0.08839779005524862,0.010581565789191132,0.006652823607886378,0.08531836575208507,0.023000936885938537
69,bor,Bor,deceased,asgardian,0.03867403314917127,0.005143472379745998,0.0033085894738036376,0.04598314771799824,0.0
70,hela,Hela,unknown,asgardian,0.08287292817679558,0.009999499609389515,0.006663865529704578,0.09504775102502991,0.03142083637080796
71,valk,Valkyrie,alive,asgardian,0.049723756906077346,0.006390821251954597,0.0045425153659143565,0.06789599911692348,0.024889021022019873
72,skurge,Skurge,deceased,asgardian,0.04419889502762431,0.006654280560495445,0.0036872851741629113,0.06861639501545129,0.0
73,korg,Korg,alive,kronan,0.04419889502762431,0.005156392379889744,0.004162757462118331,0.05625932781539915,0.011126087027560277
74,miek,Miek,alive,sakaaran,0.04419889502762431,0.005156392379889744,0.004162757462118331,0.057125575051035465,0.0066784737135132345
75,grandm,The Grandmaster,alive,unknown,0.04419889502762431,0.005553399558158407,0.004246732709197899,0.06738744653812606,0.013953150548629943
76,topaz,Topaz,deceased,sakaaran,0.03314917127071823,0.004234274873627971,0.003352908740182648,0.05312567938920896,0.00882778340787213
77,surtur,Surtur,alive,fire demon,0.055248618784530384,0.007632128681711849,0.0047025881425694005,0.08577896152588789,0.0
78,fenris,Fenris Wolf,deceased,asgardian,0.022099447513812154,0.004860393156241719,0.0023324182640890724,0.06789599911692348,0.0
79,bucky,Bucky Barnes,alive,human,0.16574585635359115,0.02216756258186269,0.014060103088484177,0.1476843020675886,0.21498641085724954
80,dumdum,Dum Dum Dugan,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774,0.04478697580720214,0.023601513860783057
81,gabej,Gabe Jones,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774,0.04662450625417968,0.01997147994704655
82,jimm,Jim Morita,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774,0.04817941503792704,0.016220385842624082
83,jamesm,James Montgomery Falsworth,deceased,human,0.04419889502762431,0.00451916904495687,0.00436132421841774,0.04944227686418912,0.012370969383157184
84,chesterp,Chester Phillips,deceased,human,0.055248618784530384,0.004987400424844993,0.005344028378114821,0.052211857662176876,0.012466234333081637
85,abrahame,Abraham Erskine,deceased,human,0.027624309392265192,0.0028826647493711503,0.0030310449539517922,0.030825868732623593,0.010066231460991547
86,johanns,Johann Schmidt,unknown,human,0.055248618784530384,0.004987400424844993,0.005344028378114821,0.053966156288997306,0.005864600317594643
87,arnimz,Arnim Zola,deceased,human,0.04419889502762431,0.006070295789785596,0.004313161929426799,0.07532549300744715,0.007505325513275256
88,alexanderp,Alexander Pierce,deceased,human,0.055248618784530384,0.008860451818584617,0.005025404150617265,0.09639912591702486,0.025189349401388002
89,brockr,Brock Rumlow,deceased,human,0.04419889502762431,0.007226213977636637,0.004228692755224485,0.06982952024356401,0.03414098488724865
90,jackr,Jack Rollins,alive,human,0.03314917127071823,0.004916916895318742,0.003417284850626311,0.05918932630966062,0.01119410681297176
91,sharonc,Sharon Carter,alive,human,0.055248618784530384,0.007955965341242096,0.005019787627568042,0.0856784838098395,0.006772590121181054
92,georgesb,Georges Batroc,alive,human,0.027624309392265192,0.004579914035723369,0.002969442633861418,0.05809970546171153,0.008473706641380257
93,tchalla,T'Challa,alive,human,0.15469613259668508,0.018424789786707696,0.012229514398074232,0.1562931071533726,0.11909519379063392
94,tchaka,T'Chaka (Old),deceased,human,0.08287292817679558,0.005121362495824867,0.0068086580324685534,0.047761667959150024,0.006700639201273103
95,everettr,Everett Ross,alive,human,0.07734806629834254,0.008792461039461578,0.006359845927464662,0.08698780175774466,0.01701490307572894
96,helmutz,Helmut Zemo,alive,human,0.06629834254143646,0.014836657015584218,0.005673475710458674,0.1740956015049435,0.03712577813163648
97,chitauri,Chitauri Footsoldier,deceased,chitauri,0.049723756906077346,0.010986904652947284,0.004691631678476391,0.16985121506073114,0.002526852782108563
98,other,The Other,deceased,unknown,0.022099447513812154,0.0020502866868311207,0.0025717855731768624,0.015801013549066295,0.001296636750611632
99,ironl,Iron Legion,deceased,machine,0.0055248618784530384,0.0016607242581750466,0.00130574080166319,0.03010524125660259,0.0
100,thanos,Thanos,alive,titan,0.06629834254143646,0.002148601278016973,0.007409238349099458,0.016654127681706127,4.010712479022e-26
101,peterq,Peter Quill,alive,human,0.09944751381215469,0.00030309234738554896,0.008743849923998346,0.0,0.002605016903076656
102,gamora,Gamora,alive,zehoberei,0.09944751381215469,0.00041416416339105477,0.008561727058700749,0.00020286705580102458,0.003870064502329861
103,drax,Drax,alive,unknown,0.09944751381215469,0.00041416416339105477,0.008561727058700749,0.0005042283302645977,0.003830806908283744
104,rocket,Rocket,alive,halfworlder,0.10497237569060773,0.00031164640869529365,0.00923931377478983,0.0008025320855735374,0.002539885534962803
105,groota,Groot (Adult),alive,flora colossus,0.09944751381215469,0.0003060730012332622,0.00851084269540103,0.0010003268275084218,0.0024464598889232044
106,yonduu,Yondu Udonta,deceased,centaurian,0.1270718232044199,0.0002259941486576608,0.011752842657123414,0.001190845165407556,0.0012983318864151338
107,nebula,Nebula,alive,luphomoid,0.0718232044198895,0.00029073290470317867,0.0064265554283614796,0.0012919673947897864,0.0019583808832388853
108,ronan,Ronan,deceased,kree,0.08287292817679558,0.00041406491838986043,0.00729044862323096,0.0014444618170806718,0.0032897489731649036
109,korath,Korath,deceased,kree,0.03867403314917127,0.00013542102673292218,0.0036941218332868595,0.0015994934326227091,0.0
110,collector,Taneleer Tivan,alive,unknown,0.06077348066298342,0.0016194520468106113,0.006517354644302042,0.012705031284028927,2.3703989526334783e-05
111,carina,Carina,deceased,krylorian,0.0055248618784530384,8.936976686261871e-05,0.001327741602859839,1.8464533321101682e-06,0.0
112,rhomannd,Rhomann Dey,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201034,0.0015481212397140541,0.0005178330488180718
113,garthans,Garthan Saal,deceased,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201035,0.0015884522660444735,0.00039416127061932374
114,iranir,Irani Rael,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201035,0.0016191512441212207,0.0002680993688463308
115,novac,Nova Corp Soldier,alive,xandarian,0.06077348066298342,0.00017217959561294244,0.005350010291201036,0.0016400319716566737,0.00014041176086888033
116,howardd,Howard The Duck,alive,duckworldian,0.022099447513812154,0.00010443705696178332,0.002950098812521239,0.00010296868271434057,1.6199234400375085e-05
117,meredithq,Meredith Quill,deceased,human,0.011049723756906077,2.4818831470505696e-05,0.0016839068501326687,0.00020286705580102458,0.00011686752417289447
118,kraglino,Kraglin Obfonteri,alive,xanderian,0.08839779005524862,0.0002142947969645597,0.00755905153229339,0.0018034622205644454,0.00038862593949084767
119,cosmo,Cosmo The Spacedog,alive,dog,0.011049723756906077,0.00010656803277335684,0.00174105470947134,0.00019964119526699457,0.0
120,mantis,Mantis,alive,unknown,0.055248618784530384,0.00015234161653704926,0.004997541088278081,0.0014747305761903062,0.00022115364530809846
121,ego,Ego,deceased,celestial,0.055248618784530384,0.00014664483743800477,0.005257319605255651,0.0015010577700363395,0.0
122,ayesha,Ayesha,alive,sovereign,0.049723756906077346,0.0001337458289936521,0.004593123158917843,0.0013394610140398243,5.265452054219521e-05
123,taserf,Taserface,deceased,stark,0.03314917127071823,8.181132996407893e-05,0.003329235606827302,0.0006762997483413073,0.0
124,stakaro,Stakar Ogord,alive,unknown,0.03867403314917127,2.3518632238024596e-05,0.004891123069481513,0.00010238430393998362,4.2303475078853906e-05
125,martinex,Martinex,alive,pluvian,0.03867403314917127,2.3518632238024596e-05,0.004891123069481513,0.00010568022756621803,3.407555287876898e-05
126,krugarr,Krugarr,alive,lem,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.0001070730376587135,2.5739190970098403e-05
127,charlie,Charlie-27,alive,jovian,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.00010907842974924054,1.7246695691151124e-05
128,aletao,Aleta Ogord,alive,arcturan,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.0001104221581282481,8.6495820477743e-06
129,mainf,Mainframe,alive,machine,0.03314917127071823,1.8056672797795948e-05,0.004255276516185564,0.00011109606738284752,0.0
130,scottl,Scott Lang,alive,human,0.10497237569060773,0.014941044694808798,0.01070223533532958,0.17782332844414372,0.03258519018451242
131,hankp,Hank Pym,alive,human,0.04419889502762431,0.0016470240999483762,0.005485947251920635,0.0025369718175180978,0.007906198953090166
132,hopev,Hope Van Dyne,alive,human,0.03314917127071823,0.0011782092822629658,0.0043718537195547936,0.003152520702298948,0.0010326794138246986
133,darrenc,Darren Cross,deceased,human,0.03867403314917127,0.0012274030791589628,0.00516446696768985,0.0032329214335186846,0.000985711096745258
134,maggiel,Maggie Lang,alive,human,0.011049723756906077,0.0008764329370148453,0.002103420628817808,0.0025369718175180978,0.0002047365348741698
135,cassiel,Cassie Lang,alive,human,0.016574585635359115,0.000940624958738596,0.0028243904542156716,0.0026296558317478826,0.0
136,luis,Luis,alive,human,0.03314917127071823,0.0011782092822629658,0.004371853719554793,0.003309665385113383,0.0005232946729820906
137,kurt,Kurt,alive,human,0.03314917127071823,0.0011782092822629658,0.004371853719554793,0.0033504072380280405,0.0002624427546246756
138,dave,Dave,alive,human,0.03314917127071823,0.0011782092822629658,0.0043718537195547936,0.003370840092721655,0.0
139,stephens,Stephen Strange,alive,human,0.055248618784530384,0.003097305951300363,0.008278933910134081,0.04351992287881143,0.011296946000545488
140,karlm,Karl Mordo,alive,human,0.03867403314917127,0.00024621360848576564,0.006202050777956655,0.0009139779902138525,0.00037114147217839953
141,anciento,Ancient One,deceased,human,0.03867403314917127,0.00024621360848576564,0.006202050777956655,0.0008795419933250323,0.0004423008552461311
142,kaecilius,Kaecilius,unknown,human,0.027624309392265192,0.00022413130470006048,0.004548228170683231,0.0009428737660838548,0.0001500048489815426
143,christinep,Christine Palmer,alive,human,0.0055248618784530384,0.00017092541347368045,0.0015281283344103127,0.0008795419933250323,0.0
144,wong,Wong,alive,human,0.03314917127071823,0.00023585316024019506,0.005338633991113422,0.0009545526182673086,0.0001500048489815426
145,jonathanp,Jonathan Pangborn,unknown,human,0.016574585635359115,0.00019810010237865725,0.0030349780017062014,0.0009428737660838548,0.0
146,hamir,Hamir,alive,human,0.027624309392265192,0.00022413130470006048,0.004548228170683231,0.0009545526182673086,7.568645603457847e-05
147,dormammu,Dormammu,alive,faltine,0.03314917127071823,0.00023585316024019506,0.005338633991113422,0.0009721241527213577,0.0
148,peterp,Peter Parker,alive,human,0.13812154696132595,0.015920541217834577,0.013817947601598034,0.1803603002616618,0.0241758206844804
149,mayp,May Parker,alive,human,0.016574585635359115,0.0026517320512524246,0.0023389595249011783,0.03198748667795627,0.002081797062229511
150,nedl,Ned Leeds,alive,human,0.055248618784530384,0.002037316969700741,0.006625219302602596,0.0020443269839489856,0.0066772032870144075
151,michellej,Michelle Jones,alive,human,0.03314917127071823,0.0012847743214402481,0.004250843379341691,0.002402109197730249,0.0008328132728824038
152,lizt,Liz Toomes,alive,human,0.03867403314917127,0.00146896277931255,0.0048270934275142195,0.0024669490022683938,0.0031910049702917444
153,adriant,Adrian Toomes,alive,human,0.055248618784530384,0.0035218314404610197,0.006588743219274662,0.03275579096827686,0.006149221127031669
154,eugenet,Flash Thompson,alive,human,0.03314917127071823,0.0012847743214402481,0.004250843379341691,0.002715389516212414,0.0004293330843310895
155,aarond,Aaron Davis,alive,human,0.022099447513812154,0.001111228375656058,0.003182060983083369,0.0018822454213536757,0.0006383961626143124
156,jacksonb,Jackson Brice,deceased,human,0.03314917127071823,0.0014118988677413531,0.004393739561519931,0.0024107056422334487,0.0028951439842767996
157,hermans,Herman Schultz,alive,human,0.04419889502762431,0.0015823358844281174,0.005645104777299492,0.003155975282102484,0.0028544222239126303
158,phineasm,Phineas Mason,alive,human,0.027624309392265192,0.001353782673280419,0.003709264803308558,0.0028086437181882415,0.0024307579565613527
159,macg,Macdonald 'Mac' Gargan,alive,human,0.022099447513812154,0.0012215758563228604,0.0031305867664519096,0.0026329410582083953,0.0
160,annem,Anne Marie Hoag,alive,human,0.027624309392265192,0.002095023353029132,0.0037192335395015135,0.03122089000855494,0.0
161,principalm,Principal Morita,alive,human,0.03314917127071823,0.0012847743214402481,0.0042508433793416915,0.0027655797857043547,0.0
162,erikk,Erik 'Killmonger' Stevens,deceased,human,0.06629834254143646,0.003564368461876846,0.005582562019624525,0.009272333604750244,0.02260797192122834
163,nakia,Nakia,alive,human,0.06629834254143646,0.0036197273715110477,0.00551645462826451,0.013986851482827559,0.021163476621347394
164,okoye,Okoye,alive,human,0.08287292817679558,0.004063614065172854,0.006742255596447857,0.015634560788307564,0.024141667042695124
165,shuri,Shuri,alive,human,0.08839779005524862,0.005222956650353075,0.007143204903456382,0.011032505999751615,0.03794611898991862
166,ramonda,Ramonda,alive,human,0.08287292817679558,0.004063614065172854,0.006742255596447856,0.017514140404127132,0.02277807247098371
167,wkabi,W'Kabi,alive,human,0.06077348066298342,0.003158628771036599,0.005125477490354742,0.020221330153177175,0.008370536005642573
168,mbaku,M'Baku,alive,human,0.04419889502762431,0.002809486798854745,0.003906807088541211,0.021263974066901902,0.0
169,zuri,Zuri,deceased,human,0.049723756906077346,0.002712018460613624,0.00437815380052346,0.019939254197469895,0.004719450121914777
170,njobu,N'Jobu,deceased,human,0.027624309392265192,0.0019048938700491707,0.0027751307094994087,0.01285540531193913,0.0
171,miningt,Mining Tribe Elder,alive,human,0.049723756906077346,0.002774092419909507,0.004319841736099068,0.017335134329043673,0.004350101006330834
172,bordert,Border Tribe Elder,alive,human,0.055248618784530384,0.002939285721211042,0.004722396021247323,0.018547076837963625,0.0014017735656395585
173,rivert,River Tribe Elder,alive,human,0.055248618784530384,0.0029634007424948015,0.004717503505769923,0.019321525622662827,0.0028457892417615843
174,merchantt,Merchant Tribe Elder,alive,human,0.049723756906077346,0.002774092419909507,0.0043198417360990685,0.01800451509028225,0.0
175,midnightp,Proxima Midnight,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,4.173356174325833e-26,3.685788406597183e-26
176,corviusg,Corvius Glaive,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,8.008611851312632e-26,3.062263677697542e-26
177,ebonym,The Ebony Maw,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,1.1195057425154692e-25,2.1906525576141802e-26
178,obsidianc,Obsidian Cull,alive,unknown,0.027624309392265192,0.00015215856313355785,0.004218772647805799,1.3474546025980837e-25,1.1415677956253251e-26
179,outrider,Outriders,alive,unknown,0.027624309392265192,0.00015215856313355785,0.0042187726478058,1.466240704399283e-25,0.0
180,bettyb,Betty Brant,alive,human,0.03314917127071823,0.0012847743214402481,0.0042508433793416915,0.002748815823596312,0.0002153191362182199
181,stanlee,Stan Lee,,human,0.027624309392265192,0.006881699022599659,0.0028685058281953885,0.0,0.04295703581156652
